Dealers.id,Dealers.name,Deaelrs.address,Dealers.address1,Dealers.address2,Dealers.city,Dealers.state,Dealers.zip,Dealers.country,Dealers.telephone,Dealers.fax,Dealers.lat,Dealers.lng,Dealers.website
1,AJAX TOCCO MAGNETHERMIC CORP.,ACCOUNTS PAYABLE,1745 OVERLAND AVE NE,WARREN,WARREN,OH,44483,,2565937770,,,,
2,"BEHCO, INC.",1666 E. LINCOLN AVE,,MADISON HEIGHTS,MADISON HEIGHTS,MI,48071,,5867550200,,,,
3,BERENDSEN FLUID POWER,6030 51st STREET S.E.,,CALGARY,CALGARY,AB,T2C 4M9,CANADA,4032799600,4032795772,,,
4,BERENDSEN FLUID POWER,9815 12 AVENUE SW,,EDMONTON,EDMONTON,AB,T6X 0E3,CANADA,7804657536,7804692376,,,
5,BERENDSEN FLUID POWER,726 CHESTER ROAD,,DELTA,DELTA,BC,V3M 6J1,CANADA,6045206389,6045206232,,,
6,BERENDSEN FLUID POWER,1730 TERMINAL STREET,,W. SACRAMENTO,W. SACRAMENTO,CA,95691,,9163720550,9163723817,,,
7,BERENDSEN FLUID POWER,1106 WEST BARKLEY AVENUE,,ORANGE,ORANGE,CA,92868,,7146398574,,,,
8,BERENDSEN FLUID POWER,4380 VIEWRIDGE AVE.,SUITE A,SAN DIEGO,SAN DIEGO,CA,92123,,5629213335,5624047819,,,
9,BERENDSEN FLUID POWER,3583 INVESTMENT BLVD,SUITE 1,HAYWARD,HAYWARD,CA,94545,,,,,,
10,BERENDSEN FLUID POWER,4675 JOLIET STREET,,DENVER,DENVER,CO,80239,,3033734840,3033712609,,,
11,BERENDSEN FLUID POWER,3250 QUENTIN STREET,UNIT 136,AURORA,AURORA,CO,80011,,,,,,
12,BERENDSEN FLUID POWER,10052 JUSTIN DRIVE,SUITE F,DES MOINES,DES MOINES,IA,50322,,,,,,
13,BERENDSEN FLUID POWER,921 S. ALLANTE PLACE,,BOISE,BOISE,ID,83709,,,,,,
14,BERENDSEN FLUID POWER,28192 NORTH BALLARD DRIVE,,LAKE FOREST,LAKE FOREST,IL,60045,,,,,,
15,BERENDSEN FLUID POWER,3727 WEST DORA,,WICHITA,WICHITA,KS,67213,,3169454455,3169454342,,,
16,BERENDSEN FLUID POWER,404 COMMERCE POINT,,HARAHAN,HARAHAN,LA,70123,,,,,,
17,BERENDSEN FLUID POWER,1521 DUBLIN AVENUE,,WINNIPEG,WINNIPEG,MB,R3E 3M8,CANADA,2047867436,2047725082,,,
18,BERENDSEN FLUID POWER,3570 ROGER B CHAFFE MEM SE,,GRAND RAPIDS,GRAND RAPIDS,MI,49548,,,,,,
19,BERENDSEN FLUID POWER,11995 BORMAN DRIVE,,ST. LOUIS,ST. LOUIS,MO,63146,,3144699100,3142058401,,,
20,BERENDSEN FLUID POWER,3723 GRANT CREEK ROAD,,MISSOULA,MISSOULA,MT,59808,,4065494181,4065494189,,,
21,BERENDSEN FLUID POWER,100 WRIGHT AVENUE #23-24,,DARTMOUTH,DARTMOUTH,NS,B3B 1L2,CANADA,9024682520,9024682859,,,
22,BERENDSEN FLUID POWER,150 E. GREG STREET,SUITE 101,SPARKS,SPARKS,NV,89431,,,,,,
23,BERENDSEN FLUID POWER,1430 N. 129th EAST AVE,,TULSA,TULSA,OK,74116,,9186223781,9186285313,,,
24,BERENDSEN FLUID POWER,401 SOUTH BOSTON,,TULSA,TULSA,OK,74103,,9185815079,,,,
25,BERENDSEN FLUID POWER,35-A IRONSIDE CRESCENT,,SCARBOROUGH,SCARBOROUGH,ON,M1X 1G5,CANADA,4163355557,4163358844,,,
26,BERENDSEN FLUID POWER,20 STEELCASE RD. W. #10,,MARKHAM,MARKHAM,ON,L3R 1B2,CANADA,9054796949,9054799757,,,
27,BERENDSEN FLUID POWER,75 MAGILL STREET,,LIVELY,LIVELY,ON,P3Y 1K6,CANADA,7056921873,7056921879,,,
28,BERENDSEN FLUID POWER,933 BARTON STREET,,STONEY CREEK,STONEY CREEK,ON,L8E 5P5,CANADA,9056437778,9056430365,,,
29,BERENDSEN FLUID POWER,"1755 CUNARD, SUITE 150",,LAVAL,LAVAL,QC,H7S 2B4,CANADA,5143379412,5143375481,,,
30,BERENDSEN FLUID POWER,#19-3603 MILLAR AVENUE,,SASKATOON,SASKATOON,SK,S7P 0B2,CANADA,3062442011,3066652412,,,
31,BERENDSEN FLUID POWER,4550 S. 134th PLACE #104,,SEATTLE,SEATTLE,WA,981683238,,2065755100,2065755086,,,
32,BREAKER ATTACHMENT DIVISION,711 LAKE STREET,,KENT,KENT,OH,44240,,,,,,
33,"C & S REPS, INC.",P.O. BOX 181,,ARGYLE,ARGYLE,TX,76226,,2547331113,,,,
34,"D C HYDRAULICS, INC.",42010 KOPPERNICK ROAD,SUITE 118,CANTON,CANTON,MI,48187,,7344168999,,,,
35,DJ INDUSTRIAL - SUNSOURCE,25 NORTH RIVERMEDE RD,"UNITS 1,2 & 3",CONCORD,CONCORD,ON,L4K5V4,CANADA,,,,,
36,DTS FLUID POWER,31731 SHERMAN DRIVE,,MADISON HEIGHTS,MADISON HEIGHTS,MI,48071,,2485859500,2485850855,,,
37,DTS FLUID POWER,3560 BUSCH DRIVE,,GRANDVILLE,GRANDVILLE,MI,49418,,6165383759,,,,
38,FLUID POWER SALES,8257 LOOP ROAD,,BALDWINSVILLE,BALDWINSVILLE,NY,13027,,3156387111,,,,
39,"FLUIDTECH, LLC",10940 EICHER DRIVE,,LENEXA,LENEXA,KS,66219,,9134923300,,,,
40,"GULF CONTROLS COMPANY, LLC",5201 TAMPA WEST BOULEVARD,,TAMPA,TAMPA,FL,33634,,8138840471,,,,
41,HYDRATEC INC,1900 BEN HILL AVENUE,,BALTIMORE,BALTIMORE,MD,21226,,,,,,
42,HYDRAULIC & PNEUMATIC SALES,P. O. BOX 410587,,CHARLOTTE,CHARLOTTE,NC,28241,,7045883234,,,,
43,HYDRAULIC & PNEUMATIC SYS,147 EASTPARK DRIVE,,ROANOKE,ROANOKE,VA,24019,,5409770700,5409771711,,,
44,HYDRAULIC CONTROLS,4221 WEST ADAMS STREET,,PHOENIX,PHOENIX,AZ,85009,,6022786088,6022725462,,,
45,HYDRAULIC CONTROLS,610 REYES DRIVE,,WALNUT,WALNUT,CA,91789,,,,,,
46,HYDRAULIC CONTROLS,2450 SOUTH K STREET,,TULARE,TULARE,CA,93274,,5596882911,5596880308,,,
47,HYDRAULIC CONTROLS,2136 STAGECOACH ROAD,,STOCKTON,STOCKTON,CA,95215,,2094661531,2094663309,,,
48,HYDRAULIC CONTROLS,1596 JAYKEN WAY,,CHULA VISTA,CHULA VISTA,CA,919114644,,6195758700,6195758790,,,
49,HYDRAULIC CONTROLS,2537 EAST JENSEN AVENUE,,FRESNO,FRESNO,CA,93706,,5592684291,5592681700,,,
50,HYDRAULIC CONTROLS,402 W. 35th STREET,SUITE C,NATIONAL CITY,NATIONAL CITY,CA,91950,,6196910215,6196915390,,,
51,HYDRAULIC CONTROLS,3481 INDUSTRIAL DRIVE,,YUBA CITY,YUBA CITY,CA,95993,,,,,,
52,HYDRAULIC CONTROLS,845 INDUSTRIAL STREET,,REDDING,REDDING,CA,96002,,5302216500,5302215010,,,
53,HYDRAULIC CONTROLS,4750 JOLIET STREET,,DENVER,DENVER,CO,80239,,3032957500,3032950912,,,
54,HYDRAULIC CONTROLS,4477 SOUTH 500 WEST,,SALT LAKE CITY,SALT LAKE CITY,UT,84123,,8012612700,8012625600,,,
55,HYDRAULIC CONTROLS,4700 SAN PABLO AVE.,,EMERYVILLE,EMERYVILLE,CA,946083097,,5106588300,,,,
56,INNOTEK CORPORATION,9140 ZACHARY LANE N.,,MAPLE GROVE,MAPLE GROVE,MN,55369,,7634932810,,,,
57,JBSA-RANDOLPH AIR FORCE BASE,"660 A ST WEST, HANGAR 74",,RANDOLPH AFB,RANDOLPH AFB,TX,78150,,,,,,
58,JEM TECHNICAL MARKETING CO.,9528 ARGYLE FORST BLVD,SUITE B2,JACKSONVILLE,JACKSONVILLE,FL,32222,,8882568266,,,,
